locus,num_diploids.BCF,num_diploids.FRHF,num_diploids.FRHS,num_diploids.MDF,num_diploids.SJRF,num_diploids.CHLF,num_diploids.BCS,num_diploids.MDS,num_diploids.SRW,num_diploids.ERF,num_diploids.RRF,num_diploids.IGHF,num_diploids.TRF,num_diploids.TRS,num_diploids.BCkF,num_diploids.CRHS,num_diploids.SmRF,num_alleles.BCF,num_alleles.FRHF,num_alleles.FRHS,num_alleles.MDF,num_alleles.SJRF,num_alleles.CHLF,num_alleles.BCS,num_alleles.MDS,num_alleles.SRW,num_alleles.ERF,num_alleles.RRF,num_alleles.IGHF,num_alleles.TRF,num_alleles.TRS,num_alleles.BCkF,num_alleles.CRHS,num_alleles.SmRF,exp_Hz.BCF,exp_Hz.FRHF,exp_Hz.FRHS,exp_Hz.MDF,exp_Hz.SJRF,exp_Hz.CHLF,exp_Hz.BCS,exp_Hz.MDS,exp_Hz.SRW,exp_Hz.ERF,exp_Hz.RRF,exp_Hz.IGHF,exp_Hz.TRF,exp_Hz.TRS,exp_Hz.BCkF,exp_Hz.CRHS,exp_Hz.SmRF,obs_Hz.BCF,obs_Hz.FRHF,obs_Hz.FRHS,obs_Hz.MDF,obs_Hz.SJRF,obs_Hz.CHLF,obs_Hz.BCS,obs_Hz.MDS,obs_Hz.SRW,obs_Hz.ERF,obs_Hz.RRF,obs_Hz.IGHF,obs_Hz.TRF,obs_Hz.TRS,obs_Hz.BCkF,obs_Hz.CRHS,obs_Hz.SmRF
Ots_104569-86,44,106,201,70,77,290,112,81,109,93,92,92,41,46,32,45,46,3,3,3,3,2,3,2,3,2,3,3,3,2,2,2,3,3,0.4641012396694215,0.5014684941260235,0.5073017994604094,0.5057142857142858,0.494602799797605,0.5010523186682521,0.4119499362244897,0.4874256973022405,0.39479000084168003,0.5091340039310903,0.42302693761814747,0.5105741965973535,0.43307555026769773,0.48842155009451793,0.46044921875,0.537037037037037,0.5120510396975426,0.5454545454545454,0.5660377358490566,0.4129353233830846,0.5142857142857142,0.45454545454545453,0.5689655172413793,0.4375,0.5061728395061729,0.3394495412844037,0.4731182795698925,0.41304347826086957,0.5,0.4878048780487805,0.5434782608695652,0.53125,0.5777777777777777,0.6086956521739131
Ots_105105-613,41,102,201,64,77,289,114,80,109,93,92,93,41,44,56,50,46,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.44973230220107074,0.491878123798539,0.4998019850993788,0.4110107421875,0.38455051442064425,0.4262401072784091,0.4944598337950138,0.471796875,0.009132227926942127,0.49907503757659843,0.48292769376181477,0.24817898022892826,0.2498512790005949,0.10717975206611552,0.3565051020408163,0.35420000000000007,0.3957939508506616,0.4878048780487805,0.5588235294117647,0.48258706467661694,0.359375,0.33766233766233766,0.44982698961937717,0.47368421052631576,0.4875,0.009174311926605505,0.5053763440860215,0.5108695652173914,0.2903225806451613,0.24390243902439024,0.11363636363636363,0.32142857142857145,0.42,0.41304347826086957
Ots_105132-200,30,103,201,46,77,288,109,73,109,93,92,93,39,44,56,50,46,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.2550000000000001,0.2947026109906683,0.2710947748818098,0.24267485822306223,0.3650699949401248,0.12624782986111116,0.17410150660718782,0.20576093075623958,0.04481945964144418,0.24049023008440273,0.375,0.16608856515204073,0.20414201183431957,0.20144628099173545,0.17713647959183665,0.05820000000000003,0.32774102079395084,0.3,0.32038834951456313,0.263681592039801,0.1956521739130435,0.3246753246753247,0.1076388888888889,0.1926605504587156,0.2328767123287671,0.045871559633027525,0.21505376344086022,0.391304347826087,0.16129032258064516,0.1794871794871795,0.18181818181818182,0.19642857142857142,0.06,0.32608695652173914
Ots_105401-325,43,106,201,68,77,289,111,80,109,93,92,88,40,44,52,43,39,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.42184964845862627,0.4016998932004272,0.3157966386970621,0.4476643598615917,0.42907741609040306,0.35617389638534025,0.4249655060465871,0.31242187499999996,0.19594310243245516,0.010694878020580445,0.16771030245746688,0.344976756198347,0.17999999999999994,0.1270661157024795,0.10872781065088755,0.045429962141698255,0.1840894148586456,0.27906976744186046,0.42452830188679247,0.263681592039801,0.4411764705882353,0.36363636363636365,0.32525951557093424,0.34234234234234234,0.2375,0.2018348623853211,0.010752688172043012,0.14130434782608695,0.3068181818181818,0.2,0.09090909090909091,0.038461538461538464,0.046511627906976744,0.05128205128205128
Ots_105407-117,44,104,201,70,77,288,114,81,109,92,92,90,41,46,55,50,45,4,4,4,4,5,4,3,4,2,5,5,4,4,4,6,5,6,0.49715909090909094,0.5544101331360947,0.5071532882849434,0.5968367346938774,0.6269185360094451,0.5144012827932098,0.5080409356725146,0.5160798658741046,0.38178604494571156,0.22111294896030254,0.2483459357277884,0.45845679012345675,0.47828673408685307,0.5980623818525521,0.5406611570247933,0.6678000000000001,0.34074074074074057,0.5454545454545454,0.5673076923076923,0.5124378109452736,0.5714285714285714,0.5714285714285714,0.5243055555555556,0.45614035087719296,0.6049382716049383,0.4036697247706422,0.20652173913043478,0.25,0.4444444444444444,0.4634146341463415,0.5434782608695652,0.4909090909090909,0.54,0.3333333333333333
Ots_106499-70,44,103,201,68,77,287,113,81,109,93,92,93,41,46,56,50,46,2,2,2,2,2,2,2,2,2,3,3,2,3,2,3,3,3,0.4628099173553719,0.42077481383730797,0.4147422093512537,0.27119377162629754,0.4472929667734863,0.3634194903422405,0.30260787845563475,0.39567139155616515,0.49793788401649686,0.5697190426638917,0.4698133270321361,0.49630015030639385,0.48066627007733487,0.3856332703213612,0.5014349489795917,0.5207999999999999,0.5668714555765595,0.4090909090909091,0.4077669902912621,0.4577114427860697,0.29411764705882354,0.44155844155844154,0.33797909407665505,0.3185840707964602,0.3950617283950617,0.5504587155963303,0.5698924731182796,0.4673913043478261,0.41935483870967744,0.5853658536585366,0.34782608695652173,0.44642857142857145,0.42,0.5
Ots_106747-239,42,106,201,65,77,289,114,77,109,93,92,93,41,46,56,50,46,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.42743764172335597,0.46257564969740117,0.48483948417118383,0.47337278106508873,0.4857480182155507,0.4471031237652805,0.39192828562634663,0.3782256704334628,0.009132227926942127,0.49531737773152973,0.48487712665406424,0.34368135044513815,0.34265318262938727,0.24267485822306223,0.33673469387755106,0.2822,0.32774102079395084,0.38095238095238093,0.5566037735849056,0.42786069651741293,0.4307692307692308,0.44155844155844154,0.43944636678200694,0.41228070175438597,0.4025974025974026,0.009174311926605505,0.4731182795698925,0.5652173913043478,0.3548387096774194,0.2926829268292683,0.2826086956521739,0.32142857142857145,0.34,0.3695652173913043
Ots_107074-284,39,91,201,60,77,268,114,77,108,93,92,90,39,44,56,50,46,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.4049967126890204,0.4804371452723101,0.47266156778297574,0.3911111111111112,0.42907741609040306,0.4576464691468032,0.42209141274238227,0.494602799797605,0.26526063100137187,0.46941842987628624,0.49001654064272215,0.4012345679012346,0.48816568047337283,0.49586776859504145,0.4424426020408163,0.4872000000000001,0.48487712665406424,0.358974358974359,0.45054945054945056,0.47761194029850745,0.36666666666666664,0.5194805194805194,0.44776119402985076,0.4298245614035088,0.5324675324675324,0.2777777777777778,0.5161290322580645,0.42391304347826086,0.4,0.5384615384615384,0.36363636363636365,0.44642857142857145,0.44,0.4782608695652174
Ots_107285-93,44,103,201,70,77,290,113,81,109,93,92,92,41,46,56,50,46,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.4987086776859504,0.48878310868130825,0.5149253731343284,0.43173469387755103,0.45328048574801816,0.44632580261593346,0.5415067742188111,0.5861149215058681,0.46237690430098477,0.28350098277257474,0.2767603969754253,0.5481450850661626,0.4643069601427723,0.5151228733459357,0.5317283163265305,0.4306000000000001,0.48747637051039705,0.6136363636363636,0.4854368932038835,0.527363184079602,0.3142857142857143,0.45454545454545453,0.4689655172413793,0.5486725663716814,0.6419753086419753,0.42201834862385323,0.3118279569892473,0.29347826086956524,0.5543478260869565,0.4634146341463415,0.5217391304347826,0.48214285714285715,0.4,0.4782608695652174
Ots_107806-821,38,105,201,61,77,285,112,73,109,93,91,89,41,45,55,50,45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.43213296398891965,0.33673469387755106,0.32474443701888567,0.4289169578070411,0.4857480182155507,0.38106494305940286,0.4454320790816326,0.2747232126102459,0.46212440030300483,0.37767371950514517,0.4825504166163507,0.2949122585532129,0.1356335514574658,0.12444444444444436,0.23553719008264462,0.4032,0.4444444444444444,0.3157894736842105,0.3904761904761905,0.3283582089552239,0.39344262295081966,0.4935064935064935,0.37894736842105264,0.4375,0.273972602739726,0.46788990825688076,0.3763440860215054,0.43956043956043955,0.2696629213483146,0.14634146341463414,0.13333333333333333,0.2727272727272727,0.32,0.4
Ots_108007-208,39,90,201,61,77,276,113,78,109,93,92,93,40,44,56,50,46,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.3408941485864563,0.4061111111111111,0.39064627113190253,0.3790647675356087,0.3717321639399561,0.4086063852131906,0.3135719320228678,0.4400887573964496,0.37269590101843275,0.19192970285582156,0.4468336483931947,0.49791883454734664,0.3346875,0.4067665289256197,0.40816326530612246,0.30779999999999985,0.25803402646502827,0.28205128205128205,0.34444444444444444,0.373134328358209,0.3770491803278688,0.4155844155844156,0.36231884057971014,0.24778761061946902,0.47435897435897434,0.3302752293577982,0.17204301075268819,0.43478260869565216,0.41935483870967744,0.375,0.38636363636363635,0.32142857142857145,0.3,0.21739130434782608
Ots_108390-329,37,101,201,55,77,286,112,77,109,93,92,93,41,44,56,50,46,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.47662527392257126,0.49509851975296537,0.4678102027177544,0.4676033057851239,0.46626749873503115,0.4656156780282654,0.49996014030612246,0.47267667397537516,0.33296860533625106,0.4609203376112846,0.4997637051039697,0.4444444444444444,0.31409875074360494,0.43388429752066116,0.4770408163265307,0.4982,0.4763705103969753,0.4594594594594595,0.42574257425742573,0.42786069651741293,0.4909090909090909,0.45454545454545453,0.47202797202797203,0.5446428571428571,0.35064935064935066,0.3302752293577982,0.44086021505376344,0.4782608695652174,0.4731182795698925,0.2926829268292683,0.3181818181818182,0.5357142857142857,0.54,0.5217391304347826
Ots_109693-392,44,106,201,70,77,287,113,80,109,93,92,93,41,46,51,50,45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.10717975206611552,0.05500177999287992,0.09005965198881216,0.10775510204081629,0.06282678360600435,0.2297466279789726,0.060028193280601494,0.18992187500000002,0.03602390371180886,0.4370447450572321,0.35816398865784504,0.4578563995837669,0.4997025580011898,0.4808601134215501,0.4844290657439446,0.4838,0.4990123456790123,0.11363636363636363,0.05660377358490566,0.0845771144278607,0.11428571428571428,0.06493506493506493,0.24390243902439024,0.061946902654867256,0.1875,0.03669724770642202,0.43010752688172044,0.29347826086956524,0.45161290322580644,0.4878048780487805,0.41304347826086957,0.47058823529411764,0.58,0.4666666666666667
Ots_110064-383,41,101,201,63,77,286,111,74,109,92,92,91,40,45,56,50,45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0.4809637120761452,0.4998039407901186,0.48652261082646464,0.46359284454522554,0.47562826783606005,0.5,0.4882720558396234,0.46703798392987583,0.4831664001346688,0.3080694706994329,0.4739484877126654,0.40816326530612246,0.4949999999999999,0.4960493827160495,0.49744897959183676,0.4032,0.45160493827160486,0.5121951219512195,0.42574257425742573,0.48756218905472637,0.5079365079365079,0.5194805194805194,0.48951048951048953,0.5405405405405406,0.527027027027027,0.5779816513761468,0.31521739130434784,0.42391304347826086,0.46153846153846156,0.45,0.37777777777777777,0.5357142857142857,0.48,0.5333333333333333
Ots_110495-380,33,92,201,57,77,275,111,73,109,93,92,91,38,43,55,50,46,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.4885215794306703,0.492852079395085,0.49287146357763434,0.48461064943059395,0.48347107438016523,0.49094876033057855,0.4284149013878744,0.45036592231187844,0.07070111943439095,0.40282113539137465,0.4468336483931947,0.07396449704142016,0.07583102493074789,0.06733369388858823,0.4628099173553719,0.4949999999999999,0.4808601134215501,0.42424242424242425,0.44565217391304346,0.4527363184079602,0.40350877192982454,0.5064935064935064,0.49454545454545457,0.44144144144144143,0.4383561643835616,0.07339449541284404,0.43010752688172044,0.4782608695652174,0.07692307692307693,0.07894736842105263,0.06976744186046512,0.4,0.58,0.5
Ots_110551-64,44,106,201,70,77,290,112,81,109,92,92,90,41,46,47,46,41,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.3117252066115703,0.4288002847988608,0.408467612187817,0.2840816326530611,0.31371226176420974,0.23279429250891803,0.3263711734693878,0.4444444444444444,0.13601548691187615,0.10278827977315697,0.24267485822306223,0.032777777777777795,0.024092801903628835,0.04253308128544431,0.2383431416930739,0.21053875236294894,0.07049375371802502,0.3409090909090909,0.4339622641509434,0.373134328358209,0.2857142857142857,0.36363636363636365,0.2413793103448276,0.3392857142857143,0.49382716049382713,0.14678899082568808,0.08695652173913043,0.2826086956521739,0.03333333333333333,0.024390243902439025,0.043478260869565216,0.2765957446808511,0.2391304347826087,0.07317073170731707
Ots_111312-435,23,85,201,41,77,268,108,63,108,93,81,90,37,31,55,50,45,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.4370447450572321,0.2777777777777777,0.22290123456790112,0.4868517165814463,0.39802289281997916,0.4628099173553719,0.4351999999999999,0.46444444444444444,0,0,0,0,0,0,0,0,0,0.3870967741935484,0.30864197530864196,0.2111111111111111,0.40540540540540543,0.2903225806451613,0.43636363636363634,0.4,0.37777777777777777
Ots_111666-408,44,106,200,69,77,284,111,81,109,91,92,93,41,46,54,50,44,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0.44189049586776863,0.4743681025275899,0.4863875,0.3713505566057551,0.4996626749873503,0.48688256298353505,0.49801152503855206,0.4871208657216888,0.36802457705580327,0.23698828643883574,0.42763468809073735,0.04208579026477044,0.1356335514574658,0,0.1049382716049383,0.1472,0.10717975206611552,0.4772727272727273,0.49056603773584906,0.435,0.37681159420289856,0.5324675324675324,0.4507042253521127,0.5405405405405406,0.3950617283950617,0.3577981651376147,0.2087912087912088,0.44565217391304346,0.043010752688172046,0.14634146341463414,0,0.1111111111111111,0.16,0.11363636363636363
Ots_111681-657,43,100,201,69,77,286,114,80,109,93,92,93,41,46,56,50,46,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.48674959437533794,0.4949999999999999,0.4922650429444816,0.49621928166351614,0.49865069994940125,0.4870653821702773,0.4501385041551246,0.486796875,0.44545913643632695,0.37229737541912367,0.4054820415879017,0.34963579604578565,0.11451516954193952,0.10278827977315697,0.29336734693877564,0.07679999999999998,0.21053875236294894,0.5116279069767442,0.52,0.527363184079602,0.4782608695652174,0.5064935064935064,0.5174825174825175,0.38596491228070173,0.5125,0.43119266055045874,0.40860215053763443,0.5217391304347826,0.40860215053763443,0.12195121951219512,0.10869565217391304,0.32142857142857145,0.08,0.1956521739130435
Ots_112301-43,44,106,201,70,77,289,114,81,109,93,92,92,41,46,56,50,46,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.1270661157024795,0.22227661089355655,0.20649241355411996,0.15673469387755112,0.24489795918367352,0.16939452353300366,0.12292243767313016,0.23472031702484386,0.3989563168083494,0.4291825644583188,0.49852315689981097,0.4940926275992439,0.47590719809637116,0.499054820415879,0.4770408163265307,0.48,0.48842155009451793,0.13636363636363635,0.2169811320754717,0.22388059701492538,0.14285714285714285,0.2077922077922078,0.16608996539792387,0.13157894736842105,0.2222222222222222,0.3853211009174312,0.3655913978494624,0.4673913043478261,0.4782608695652174,0.4878048780487805,0.6086956521739131,0.6071428571428571,0.44,0.45652173913043476
Ots_112419-131,44,106,201,70,77,288,114,81,109,93,92,93,41,46,56,50,46,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.4935433884297521,0.4855820576717693,0.4625628078512908,0.49632653061224496,0.4591836734693877,0.47293957368827166,0.4501385041551246,0.47530864197530853,0.46212440030300483,0.3376112845415655,0.48292769376181477,0.5,0.49881023200475905,0.4997637051039697,0.45392219387755106,0.4421999999999999,0.43171077504725897,0.4318181818181818,0.4339622641509434,0.47761194029850745,0.5142857142857142,0.42857142857142855,0.5034722222222222,0.47368421052631576,0.5308641975308642,0.5045871559633027,0.34408602150537637,0.5543478260869565,0.5913978494623656,0.36585365853658536,0.5,0.44642857142857145,0.42,0.32608695652173914
Ots_112820-284,44,106,200,69,77,285,109,80,109,91,91,93,41,46,55,50,45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.49974173553719003,0.4955500177999288,0.49448749999999997,0.49327872295736186,0.4591836734693877,0.49615266235764854,0.44545913643632695,0.42000000000000004,0.3276239373790084,0.2526868735659944,0.4302016664654027,0.23268585963695232,0.19541939321832236,0.15879017013232533,0.3307438016528925,0.4872000000000001,0.2777777777777777,0.6136363636363636,0.4528301886792453,0.495,0.5072463768115942,0.4805194805194805,0.49122807017543857,0.46788990825688076,0.5,0.28440366972477066,0.27472527472527475,0.4725274725274725,0.22580645161290322,0.17073170731707318,0.17391304347826086,0.2727272727272727,0.56,0.24444444444444444
Ots_112876-371,44,106,201,69,77,289,114,79,109,93,92,92,41,46,56,50,45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.42536157024793386,0.4822000711997152,0.4888616618400534,0.47311489182944766,0.45142519817844484,0.4672178254570707,0.3959679901508155,0.4979971158468195,0.4831664001346688,0.32512429182564473,0.36389413988657837,0.4234404536862004,0.34265318262938727,0.31474480151228734,0.315688775510204,0.41180000000000005,0.31999999999999984,0.4772727272727273,0.4716981132075472,0.472636815920398,0.4782608695652174,0.35064935064935066,0.48788927335640137,0.38596491228070173,0.4810126582278481,0.5229357798165137,0.34408602150537637,0.3695652173913043,0.45652173913043476,0.43902439024390244,0.34782608695652173,0.2857142857142857,0.42,0.26666666666666666
Ots_113242-216,44,106,201,70,77,289,113,81,109,93,92,92,41,46,54,49,45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.43388429752066116,0.4822000711997152,0.483960793049677,0.48979591836734704,0.4857480182155507,0.48503370409837043,0.47928577022476304,0.4596860234720317,0.4878377240972982,0.39310902994565855,0.49710538752362954,0.4739484877126654,0.4952409280190362,0.48487712665406424,0.49725651577503416,0.49250312369845906,0.4444444444444444,0.36363636363636365,0.5849056603773585,0.5024875621890548,0.5142857142857142,0.5194805194805194,0.5155709342560554,0.46017699115044247,0.345679012345679,0.42201834862385323,0.45161290322580644,0.5543478260869565,0.4891304347826087,0.4146341463414634,0.5217391304347826,0.48148148148148145,0.3877551020408163,0.4
