Chromosome chrom_length
NW_020129020.1 249101
NW_020129021.1 384776
NW_020129022.1 410377
NW_020129023.1 231259
NW_020129024.1 307015
NW_020129025.1 518379
NW_020129026.1 423800
NW_020129027.1 225262
NW_020129028.1 236446
NW_020129029.1 333298
NW_020129030.1 398585
NW_020129031.1 264592
NW_020129032.1 336276
NW_020129033.1 220748
NW_020129034.1 219112
NW_020129035.1 315100
NW_020129036.1 217555
NW_020129037.1 385300
NW_020129038.1 253462
NW_020129039.1 521583
NW_020129040.1 214889
NW_020129041.1 214682
NW_020129042.1 344477
NW_020129043.1 181178
NW_020129044.1 219161
NW_020129045.1 244911
NW_020129046.1 212421
NW_020129047.1 70862
NW_020129048.1 210618
NW_020129049.1 559728
NW_020129050.1 403526
NW_020129051.1 207981
NW_020129052.1 72278
NW_020129053.1 181987
NW_020129054.1 206209
NW_020129055.1 205837
NW_020129056.1 179829
NW_020129057.1 209907
NW_020129058.1 222495
NW_020129059.1 236189
NW_020129060.1 398573
NW_020129061.1 203208
NW_020129062.1 413209
NW_020129063.1 223411
NW_020129064.1 274482
NW_020129065.1 206215
NW_020129066.1 271270
NW_020129067.1 200704
NW_020129068.1 200377
NW_020129069.1 199981
NW_020129070.1 324633
NW_020129071.1 225123
NW_020129072.1 212947
NW_020129073.1 198613
NW_020129074.1 210195
NW_020129075.1 307634
NW_020129076.1 140274
NW_020129077.1 399353
NW_020129078.1 285834
NW_020129079.1 136564
NW_020129080.1 251238
NW_020129081.1 38772
NW_020129082.1 207284
NW_020129083.1 328400
NW_020129084.1 631606
NW_020129085.1 191467
NW_020129086.1 206816
NW_020129087.1 90577
NW_020129088.1 268967
NW_020129089.1 190450
NW_020129090.1 370963
NW_020129091.1 189459
NW_020129092.1 189099
NW_020129093.1 244502
NW_020129094.1 188682
NW_020129095.1 359641
NW_020129096.1 84493
NW_020129097.1 338896
NW_020129098.1 186890
NW_020129099.1 421930
NW_020129100.1 224564
NW_020129101.1 314060
NW_020129102.1 291487
NW_020129103.1 216890
NW_020129104.1 380003
NW_020129105.1 184324
NW_020129106.1 314651
NW_020129107.1 181864
NW_020129108.1 181802
NW_020129109.1 298382
NW_020129110.1 181686
NW_020129111.1 181575
NW_020129112.1 180916
NW_020129113.1 191603
NW_020129114.1 361110
NW_020129115.1 180216
NW_020129116.1 179144
NW_020129117.1 363605
NW_020129118.1 281185
NW_020129119.1 267160
NW_020129120.1 178051
NW_020129121.1 177666
NW_020129122.1 176794
NW_020129123.1 258022
NW_020129124.1 176213
NW_020129125.1 910691
NW_020129126.1 284673
NW_020129127.1 354861
NW_020129128.1 214177
NW_020129129.1 297338
NW_020129130.1 174537
NW_020129131.1 174252
NW_020129132.1 221036
NW_020129133.1 244832
NW_020129134.1 173506
NW_020129135.1 326684
NW_020129136.1 194644
NW_020129137.1 319863
NW_020129138.1 440631
NW_020129139.1 181741
NW_020129140.1 171444
NW_020129141.1 170500
NW_020129142.1 140450
NW_020129143.1 240482
NW_020129144.1 169908
NW_020129145.1 201298
NW_020129146.1 198526
NW_020129147.1 168345
NW_020129148.1 167994
NW_020129149.1 167699
NW_020129150.1 312224
NW_020129151.1 167283
NW_020129152.1 166944
NW_020129153.1 214703
NW_020129154.1 166764
NW_020129155.1 322508
NW_020129156.1 381930
NW_020129157.1 267096
NW_020129158.1 221962
NW_020129159.1 164717
NW_020129160.1 279523
NW_020129161.1 222832
NW_020129162.1 164046
NW_020129163.1 164040
NW_020129164.1 163575
NW_020129165.1 163193
NW_020129166.1 163052
NW_020129167.1 232934
NW_020129168.1 446639
NW_020129169.1 437769
NW_020129170.1 161078
NW_020129171.1 197019
NW_020129172.1 160460
NW_020129173.1 160357
NW_020129174.1 174138
NW_020129175.1 271279
NW_020129176.1 158721
NW_020129177.1 148378
NW_020129178.1 187210
NW_020129179.1 503936
NW_020129180.1 192218
NW_020129181.1 205674
NW_020129182.1 249838
NW_020129183.1 266598
NW_020129184.1 281312
NW_020129185.1 235695
NW_020129186.1 156559
NW_020129187.1 485288
NW_020129188.1 155934
NW_020129189.1 430393
NW_020129190.1 270903
NW_020129191.1 249613
NW_020129192.1 397099
NW_020129193.1 170352
NW_020129194.1 217492
NW_020129195.1 153289
NW_020129196.1 212697
NW_020129197.1 153024
NW_020129198.1 250798
NW_020129199.1 227150
NW_020129200.1 186388
NW_020129201.1 151661
NW_020129202.1 156974
NW_020129203.1 151452
NW_020129204.1 160700
NW_020129205.1 258866
NW_020129206.1 151101
NW_020129207.1 68434
NW_020129208.1 194968
NW_020129209.1 150679
NW_020129210.1 232524
NW_020129211.1 271213
NW_020129212.1 209542
NW_020129213.1 254835
NW_020129214.1 533435
NW_020129215.1 181050
NW_020129216.1 267410
NW_020129217.1 196430
NW_020129218.1 176633
NW_020129219.1 176178
NW_020129220.1 227421
NW_020129221.1 219287
NW_020129222.1 111009
NW_020129223.1 147501
NW_020129224.1 147484
NW_020129225.1 147094
NW_020129226.1 430218
NW_020129227.1 70287
NW_020129228.1 146841
NW_020129229.1 176934
NW_020129230.1 146542
NW_020129231.1 146527
NW_020129232.1 146483
NW_020129233.1 146246
NW_020129234.1 358716
NW_020129235.1 231859
NW_020129236.1 198900
NW_020129237.1 336930
NW_020129238.1 334578
NW_020129239.1 542592
NW_020129240.1 173554
NW_020129241.1 389751
NW_020129242.1 144362
NW_020129243.1 168387
NW_020129244.1 200738
NW_020129245.1 143158
NW_020129246.1 199384
NW_020129247.1 317000
NW_020129248.1 155035
NW_020129249.1 174778
NW_020129250.1 142233
NW_020129251.1 785591
NW_020129252.1 220543
NW_020129253.1 141768
NW_020129254.1 141695
NW_020129255.1 141693
NW_020129256.1 207107
NW_020129257.1 256783
NW_020129258.1 188360
NW_020129259.1 211499
NW_020129260.1 152267
NW_020129261.1 162022
NW_020129262.1 140215
NW_020129263.1 162852
NW_020129264.1 236245
NW_020129265.1 139650
NW_020129266.1 116638
NW_020129267.1 138948
NW_020129268.1 191075
NW_020129269.1 138560
NW_020129270.1 138514
NW_020129271.1 130029
NW_020129272.1 194637
NW_020129273.1 138134
NW_020129274.1 162343
NW_020129275.1 232941
NW_020129276.1 137757
NW_020129277.1 145574
NW_020129278.1 82476
NW_020129279.1 156601
NW_020129280.1 294857
NW_020129281.1 136284
NW_020129282.1 135956
NW_020129283.1 181344
NW_020129284.1 135229
NW_020129285.1 135059
NW_020129286.1 187216
NW_020129287.1 134708
NW_020129288.1 134192
NW_020129289.1 151418
NW_020129290.1 157672
NW_020129291.1 133937
NW_020129292.1 133872
NW_020129293.1 133476
NW_020129294.1 145509
NW_020129295.1 247903
NW_020129296.1 128208
NW_020129297.1 423704
NW_020129298.1 502394
NW_020129299.1 139596
NW_020129300.1 75902
NW_020129301.1 230263
NW_020129302.1 132237
NW_020129303.1 140764
NW_020129304.1 199777
NW_020129305.1 131742
NW_020129306.1 131675
NW_020129307.1 177110
NW_020129308.1 131400
NW_020129309.1 286781
NW_020129310.1 502924
NW_020129311.1 260298
NW_020129312.1 130349
NW_020129313.1 87192
NW_020129314.1 135423
NW_020129315.1 218001
NW_020129316.1 405103
NW_020129317.1 323426
NW_020129318.1 128818
NW_020129319.1 128729
NW_020129320.1 128683
NW_020129321.1 128654
NW_020129322.1 144291
NW_020129323.1 147066
NW_020129324.1 228818
NW_020129325.1 128221
NW_020129326.1 127839
NW_020129327.1 187900
NW_020129328.1 257554
NW_020129329.1 291358
NW_020129330.1 155251
NW_020129331.1 217299
NW_020129332.1 126634
NW_020129333.1 170127
NW_020129334.1 126542
NW_020129335.1 138388
NW_020129336.1 132401
NW_020129337.1 142099
NW_020129338.1 126016
NW_020129339.1 133149
NW_020129340.1 125769
NW_020129341.1 125718
NW_020129342.1 125605
NW_020129343.1 221706
NW_020129344.1 125495
NW_020129345.1 124891
NW_020129346.1 254794
NW_020129347.1 124799
NW_020129348.1 238733
NW_020129349.1 189405
NW_020129350.1 217341
NW_020129351.1 163357
NW_020129352.1 157132
NW_020129353.1 201954
NW_020129354.1 124230
NW_020129355.1 367243
NW_020129356.1 124023
NW_020129357.1 123845
NW_020129358.1 187791
NW_020129359.1 153910
NW_020129360.1 162534
NW_020129361.1 305669
NW_020129362.1 131915
NW_020129363.1 343829
NW_020129364.1 220168
NW_020129365.1 188896
NW_020129366.1 194624
NW_020129367.1 177612
NW_020129368.1 160165
NW_020129369.1 228154
NW_020129370.1 121607
NW_020129371.1 197534
NW_020129372.1 121273
NW_020129373.1 188224
NW_020129374.1 239897
NW_020129375.1 179304
NW_020129376.1 203653
NW_020129377.1 120329
NW_020129378.1 118970
NW_020129379.1 118959
NW_020129380.1 262683
NW_020129381.1 222343
NW_020129382.1 349104
NW_020129383.1 206532
NW_020129384.1 118164
NW_020129385.1 146196
NW_020129386.1 118077
NW_020129387.1 174136
NW_020129388.1 126577
NW_020129389.1 187947
NW_020129390.1 117815
NW_020129391.1 129541
NW_020129392.1 406054
NW_020129393.1 117552
NW_020129394.1 295473
NW_020129395.1 117149
NW_020129396.1 117048
NW_020129397.1 117021
NW_020129398.1 160691
NW_020129399.1 227970
NW_020129400.1 175592
NW_020129401.1 122020
NW_020129402.1 221888
NW_020129403.1 116529
NW_020129404.1 116527
NW_020129405.1 172668
NW_020129406.1 225685
NW_020129407.1 179629
NW_020129408.1 116051
NW_020129409.1 127495
NW_020129410.1 126107
NW_020129411.1 128845
NW_020129412.1 114264
NW_020129413.1 117254
NW_020129414.1 115294
NW_020129415.1 201982
NW_020129416.1 168657
NW_020129417.1 114792
NW_020129418.1 54722
NW_020129419.1 227138
NW_020129420.1 183880
NW_020129421.1 114739
NW_020129422.1 114468
NW_020129423.1 127815
NW_020129424.1 141789
NW_020129425.1 114253
NW_020129426.1 190366
NW_020129427.1 156625
NW_020129428.1 113930
NW_020129429.1 159813
NW_020129430.1 113546
NW_020129431.1 113480
NW_020129432.1 160439
NW_020129433.1 167390
NW_020129434.1 112654
NW_020129435.1 112531
NW_020129436.1 69981
NW_020129437.1 112434
NW_020129438.1 155879
NW_020129439.1 135945
NW_020129440.1 111660
NW_020129441.1 111464
NW_020129442.1 146644
NW_020129443.1 111167
NW_020129444.1 111075
NW_020129445.1 185895
NW_020129446.1 118883
NW_020129447.1 110445
NW_020129448.1 125621
NW_020129449.1 206875
NW_020129450.1 110065
NW_020129451.1 109899
NW_020129452.1 157524
NW_020129453.1 250265
NW_020129454.1 109666
NW_020129455.1 125738
NW_020129456.1 109504
NW_020129457.1 120898
NW_020129458.1 354620
NW_020129459.1 109256
NW_020129460.1 172548
NW_020129461.1 156543
NW_020129462.1 172735
NW_020129463.1 108671
NW_020129464.1 108535
NW_020129465.1 113989
NW_020129466.1 108061
NW_020129467.1 112156
NW_020129468.1 79692
NW_020129469.1 107656
NW_020129470.1 213544
NW_020129471.1 107507
NW_020129472.1 107290
NW_020129473.1 107237
NW_020129474.1 298668
NW_020129475.1 191736
NW_020129476.1 128983
NW_020129477.1 148603
NW_020129478.1 239704
NW_020129479.1 405733
NW_020129480.1 107228
NW_020129481.1 125710
NW_020129482.1 105950
NW_020129483.1 107518
NW_020129484.1 222653
NW_020129485.1 112030
NW_020129486.1 166224
NW_020129487.1 127959
NW_020129488.1 105083
NW_020129489.1 117892
NW_020129490.1 131610
NW_020129491.1 104618
NW_020129492.1 203960
NW_020129493.1 110727
NW_020129494.1 619108
NW_020129495.1 104044
NW_020129496.1 170088
NW_020129497.1 103533
NW_020129498.1 112124
NW_020129499.1 103327
NW_020129500.1 103198
NW_020129501.1 137888
NW_020129502.1 103132
NW_020129503.1 118357
NW_020129504.1 132046
NW_020129505.1 202949
NW_020129506.1 102685
NW_020129507.1 102675
NW_020129508.1 285836
NW_020129509.1 193375
NW_020129510.1 125503
NW_020129511.1 187949
NW_020129512.1 108706
NW_020129513.1 102141
NW_020129514.1 216699
NW_020129515.1 165308
NW_020129516.1 101799
NW_020129517.1 101795
NW_020129518.1 125713
NW_020129519.1 118986
NW_020129520.1 101498
NW_020129521.1 101493
NW_020129522.1 138692
NW_020129523.1 101394
NW_020129524.1 157447
NW_020129525.1 101049
NW_020129526.1 163543
NW_020129527.1 102627
NW_020129528.1 100752
NW_020129529.1 148858
NW_020129530.1 203868
NW_020129531.1 117964
NW_020129532.1 97543
NW_020129533.1 295891
NW_020129534.1 100219
NW_020129535.1 108818
NW_020129536.1 99806
NW_020129537.1 363301
NW_020129538.1 99554
NW_020129539.1 111223
NW_020129540.1 187306
NW_020129541.1 98893
NW_020129542.1 183463
NW_020129543.1 98780
NW_020129544.1 98690
NW_020129545.1 98570
NW_020129546.1 98478
NW_020129547.1 111276
NW_020129548.1 98381
NW_020129549.1 189622
NW_020129550.1 124205
NW_020129551.1 98115
NW_020129552.1 134271
NW_020129553.1 97875
NW_020129554.1 97737
NW_020129555.1 254687
NW_020129556.1 149235
NW_020129557.1 120898
NW_020129558.1 97393
NW_020129559.1 97378
NW_020129560.1 202624
NW_020129561.1 97214
NW_020129562.1 126094
NW_020129563.1 97054
NW_020129564.1 312108
NW_020129565.1 174462
NW_020129566.1 196841
NW_020129567.1 189665
NW_020129568.1 108103
NW_020129569.1 96477
NW_020129570.1 96421
NW_020129571.1 105011
NW_020129572.1 181865
NW_020129573.1 96162
NW_020129574.1 107504
NW_020129575.1 140743
NW_020129576.1 95738
NW_020129577.1 189137
NW_020129578.1 95597
NW_020129579.1 95595
NW_020129580.1 95580
NW_020129581.1 147148
NW_020129582.1 183693
NW_020129583.1 182173
NW_020129584.1 181722
NW_020129585.1 111612
NW_020129586.1 137953
NW_020129587.1 98735
NW_020129588.1 291372
NW_020129589.1 94533
NW_020129590.1 185040
NW_020129591.1 116144
NW_020129592.1 192957
NW_020129593.1 94031
NW_020129594.1 215763
NW_020129595.1 102868
NW_020129596.1 93892
NW_020129597.1 137722
NW_020129598.1 93749
NW_020129599.1 181387
NW_020129600.1 203523
NW_020129601.1 93538
NW_020129602.1 140792
NW_020129603.1 98133
NW_020129604.1 93430
NW_020129605.1 93119
NW_020129606.1 435920
NW_020129607.1 306978
NW_020129608.1 93026
NW_020129609.1 94098
NW_020129610.1 92870
NW_020129611.1 191623
NW_020129612.1 92756
NW_020129613.1 92615
NW_020129614.1 222711
NW_020129615.1 126755
NW_020129616.1 110413
NW_020129617.1 175308
NW_020129618.1 112758
NW_020129619.1 125482
NW_020129620.1 143676
NW_020129621.1 91906
NW_020129622.1 92920
NW_020129623.1 299628
NW_020129624.1 91565
NW_020129625.1 237513
NW_020129626.1 91298
NW_020129627.1 91296
NW_020129628.1 128366
NW_020129629.1 91132
NW_020129630.1 104574
NW_020129631.1 90852
NW_020129632.1 97414
NW_020129633.1 90557
NW_020129634.1 90252
NW_020129635.1 119338
NW_020129636.1 234247
NW_020129637.1 89926
NW_020129638.1 180624
NW_020129639.1 89812
NW_020129640.1 89786
NW_020129641.1 89699
NW_020129642.1 124421
NW_020129643.1 122874
NW_020129644.1 89531
NW_020129645.1 113063
NW_020129646.1 89437
NW_020129647.1 89431
NW_020129648.1 89396
NW_020129649.1 89123
NW_020129650.1 104076
NW_020129651.1 89001
NW_020129652.1 161418
NW_020129653.1 88942
NW_020129654.1 88922
NW_020129655.1 88861
NW_020129656.1 88837
NW_020129657.1 178604
NW_020129658.1 127697
NW_020129659.1 157806
NW_020129660.1 110029
NW_020129661.1 147518
NW_020129662.1 251823
NW_020129663.1 88568
NW_020129664.1 174898
NW_020129665.1 176343
NW_020129666.1 113217
NW_020129667.1 384216
NW_020129668.1 202546
NW_020129669.1 87954
NW_020129670.1 87902
NW_020129671.1 87902
NW_020129672.1 124412
NW_020129673.1 96095
NW_020129674.1 168898
NW_020129675.1 87647
NW_020129676.1 87584
NW_020129677.1 199045
NW_020129678.1 183799
NW_020129679.1 564403
NW_020129680.1 160902
NW_020129681.1 89537
NW_020129682.1 101856
NW_020129683.1 87143
NW_020129684.1 87045
NW_020129685.1 86874
NW_020129686.1 172562
NW_020129687.1 233877
NW_020129688.1 86523
NW_020129689.1 86513
NW_020129690.1 110242
NW_020129691.1 86322
NW_020129692.1 89538
NW_020129693.1 86228
NW_020129694.1 86213
NW_020129695.1 86153
NW_020129696.1 86128
NW_020129697.1 86107
NW_020129698.1 85766
NW_020129699.1 129346
NW_020129700.1 85736
NW_020129701.1 166699
NW_020129702.1 94626
NW_020129703.1 124969
NW_020129704.1 85257
NW_020129705.1 110824
NW_020129706.1 181410
NW_020129707.1 84840
NW_020129708.1 157626
NW_020129709.1 257733
NW_020129710.1 212863
NW_020129711.1 198511
NW_020129712.1 184428
NW_020129713.1 204768
NW_020129714.1 84290
NW_020129715.1 111530
NW_020129716.1 152815
NW_020129717.1 84212
NW_020129718.1 144688
NW_020129719.1 84123
NW_020129720.1 84056
NW_020129721.1 84048
NW_020129722.1 83993
NW_020129723.1 83983
NW_020129724.1 155754
NW_020129725.1 101721
NW_020129726.1 83776
NW_020129727.1 83735
NW_020129728.1 83705
NW_020129729.1 83690
NW_020129730.1 93920
NW_020129731.1 83479
NW_020129732.1 83461
NW_020129733.1 135255
NW_020129734.1 83302
NW_020129735.1 131369
NW_020129736.1 205911
NW_020129737.1 113836
NW_020129738.1 172784
NW_020129739.1 83033
NW_020129740.1 82984
NW_020129741.1 111275
NW_020129742.1 82888
NW_020129743.1 183127
NW_020129744.1 82779
NW_020129745.1 82653
NW_020129746.1 82601
NW_020129747.1 113745
NW_020129748.1 82474
NW_020129749.1 136258
NW_020129750.1 93846
NW_020129751.1 82246
NW_020129752.1 81972
NW_020129753.1 81953
NW_020129754.1 149957
NW_020129755.1 146922
NW_020129756.1 81762
NW_020129757.1 81694
NW_020129758.1 158140
NW_020129759.1 216620
NW_020129760.1 81561
NW_020129761.1 81531
NW_020129762.1 81475
NW_020129763.1 81429
NW_020129764.1 118092
NW_020129765.1 95265
NW_020129766.1 81210
NW_020129767.1 81203
NW_020129768.1 81177
NW_020129769.1 154718
NW_020129770.1 122719
NW_020129771.1 81060
NW_020129772.1 94821
NW_020129773.1 208846
NW_020129774.1 104654
NW_020129775.1 145708
NW_020129776.1 108757
NW_020129777.1 345962
NW_020129778.1 80280
NW_020129779.1 80204
NW_020129780.1 80102
NW_020129781.1 80022
NW_020129782.1 80002
NW_020129783.1 50960
NW_020129784.1 134475
NW_020129785.1 99383
NW_020129786.1 99538
NW_020129787.1 122396
NW_020129788.1 86936
NW_020129789.1 79580
NW_020129790.1 152533
NW_020129791.1 79374
NW_020129792.1 177213
NW_020129793.1 162808
NW_020129794.1 112414
NW_020129795.1 79149
NW_020129796.1 79118
NW_020129797.1 79116
NW_020129798.1 78966
NW_020129799.1 78965
NW_020129800.1 182639
NW_020129801.1 156929
NW_020129802.1 78843
NW_020129803.1 88011
NW_020129804.1 78804
NW_020129805.1 116987
NW_020129806.1 103421
NW_020129807.1 78622
NW_020129808.1 135842
NW_020129809.1 78556
NW_020129810.1 217504
NW_020129811.1 78420
NW_020129812.1 149454
NW_020129813.1 136257
NW_020129814.1 78191
NW_020129815.1 105959
NW_020129816.1 78029
NW_020129817.1 130525
NW_020129818.1 78001
NW_020129819.1 77926
NW_020129820.1 82319
NW_020129821.1 77828
NW_020129822.1 102685
NW_020129823.1 77632
NW_020129824.1 77631
NW_020129825.1 77469
NW_020129826.1 134020
NW_020129827.1 77415
NW_020129828.1 77408
NW_020129829.1 78574
NW_020129830.1 108136
NW_020129831.1 77027
NW_020129832.1 76986
NW_020129833.1 231894
NW_020129834.1 150721
NW_020129835.1 152362
NW_020129836.1 106006
NW_020129837.1 76128
NW_020129838.1 132562
NW_020129839.1 126978
NW_020129840.1 75718
NW_020129841.1 75549
NW_020129842.1 48776
NW_020129843.1 129238
NW_020129844.1 176283
NW_020129845.1 74991
NW_020129846.1 74888
NW_020129847.1 116581
NW_020129848.1 187265
NW_020129849.1 74744
NW_020129850.1 186305
NW_020129851.1 74593
NW_020129852.1 122377
NW_020129853.1 118058
NW_020129854.1 110667
NW_020129855.1 74318
NW_020129856.1 229157
NW_020129857.1 74185
NW_020129858.1 74179
NW_020129859.1 124137
NW_020129860.1 74083
NW_020129861.1 74044
NW_020129862.1 73866
NW_020129863.1 134790
NW_020129864.1 131426
NW_020129865.1 73710
NW_020129866.1 272788
NW_020129867.1 184988
NW_020129868.1 73569
NW_020129869.1 73463
NW_020129870.1 73372
NW_020129871.1 73361
NW_020129872.1 73251
NW_020129873.1 73248
NW_020129874.1 132031
NW_020129875.1 73051
NW_020129876.1 147491
NW_020129877.1 83940
NW_020129878.1 72940
NW_020129879.1 100338
NW_020129880.1 72795
NW_020129881.1 72629
NW_020129882.1 222997
NW_020129883.1 89932
NW_020129884.1 239491
NW_020129885.1 72334
NW_020129886.1 141668
NW_020129887.1 122601
NW_020129888.1 147626
NW_020129889.1 142159
NW_020129890.1 134669
NW_020129891.1 196617
NW_020129892.1 71936
NW_020129893.1 71851
NW_020129894.1 103122
NW_020129895.1 93029
NW_020129896.1 113857
NW_020129897.1 71699
NW_020129898.1 84146
NW_020129899.1 143293
NW_020129900.1 206995
NW_020129901.1 144093
NW_020129902.1 71313
NW_020129903.1 94204
NW_020129904.1 83466
NW_020129905.1 71185
NW_020129906.1 176655
NW_020129907.1 71122
NW_020129908.1 93336
NW_020129909.1 44348
NW_020129910.1 121067
NW_020129911.1 70889
NW_020129912.1 89508
NW_020129913.1 82373
NW_020129914.1 70743
NW_020129915.1 70724
NW_020129916.1 70708
NW_020129917.1 130912
NW_020129918.1 70621
NW_020129919.1 70564
NW_020129920.1 202144
NW_020129921.1 192724
NW_020129922.1 100334
NW_020129923.1 121248
NW_020129924.1 70192
NW_020129925.1 147315
NW_020129926.1 138850
NW_020129927.1 69963
NW_020129928.1 90642
NW_020129929.1 82847
